Date,Value,Variable Description,run_date,created_by
1992-01-01,44.4522352588286,Global price of Energy index,2024-12-11,billy
1992-02-01,44.0128567181963,Global price of Energy index,2024-12-11,billy
1992-03-01,43.8285850995234,Global price of Energy index,2024-12-11,billy
1992-04-01,46.155697926573,Global price of Energy index,2024-12-11,billy
1992-05-01,48.2052616437727,Global price of Energy index,2024-12-11,billy
1992-06-01,50.6501985592157,Global price of Energy index,2024-12-11,billy
1992-07-01,49.9010687111964,Global price of Energy index,2024-12-11,billy
1992-08-01,49.7099081845566,Global price of Energy index,2024-12-11,billy
1992-09-01,51.1811522934843,Global price of Energy index,2024-12-11,billy
1992-10-01,51.3571352615322,Global price of Energy index,2024-12-11,billy
1992-11-01,48.7933125604438,Global price of Energy index,2024-12-11,billy
1992-12-01,46.9915178464362,Global price of Energy index,2024-12-11,billy
1993-01-01,45.7855856435848,Global price of Energy index,2024-12-11,billy
1993-02-01,46.4782081597774,Global price of Energy index,2024-12-11,billy
1993-03-01,48.0759577403415,Global price of Energy index,2024-12-11,billy
1993-04-01,48.5407722796478,Global price of Energy index,2024-12-11,billy
1993-05-01,47.4795896410653,Global price of Energy index,2024-12-11,billy
1993-06-01,45.8424207016016,Global price of Energy index,2024-12-11,billy
1993-07-01,43.9433514075594,Global price of Energy index,2024-12-11,billy
1993-08-01,44.7541962023966,Global price of Energy index,2024-12-11,billy
1993-09-01,43.5236989323768,Global price of Energy index,2024-12-11,billy
1993-10-01,43.7541101883819,Global price of Energy index,2024-12-11,billy
1993-11-01,42.2606306441881,Global price of Energy index,2024-12-11,billy
1993-12-01,38.4499906955463,Global price of Energy index,2024-12-11,billy
1994-01-01,39.8172767602957,Global price of Energy index,2024-12-11,billy
1994-02-01,40.4173229208669,Global price of Energy index,2024-12-11,billy
1994-03-01,38.3122593503381,Global price of Energy index,2024-12-11,billy
1994-04-01,40.6544906276469,Global price of Energy index,2024-12-11,billy
1994-05-01,42.6117142469202,Global price of Energy index,2024-12-11,billy
1994-06-01,44.4949195335516,Global price of Energy index,2024-12-11,billy
1994-07-01,45.8462902077056,Global price of Energy index,2024-12-11,billy
1994-08-01,43.7816425196461,Global price of Energy index,2024-12-11,billy
1994-09-01,42.1316863092849,Global price of Energy index,2024-12-11,billy
1994-10-01,42.9429378571155,Global price of Energy index,2024-12-11,billy
1994-11-01,44.0671809186165,Global price of Energy index,2024-12-11,billy
1994-12-01,43.0376149977719,Global price of Energy index,2024-12-11,billy
1995-01-01,44.0451098637305,Global price of Energy index,2024-12-11,billy
1995-02-01,45.1721950679683,Global price of Energy index,2024-12-11,billy
1995-03-01,45.3823213415581,Global price of Energy index,2024-12-11,billy
1995-04-01,47.8008471541666,Global price of Energy index,2024-12-11,billy
1995-05-01,47.7466235089334,Global price of Energy index,2024-12-11,billy
1995-06-01,45.8271212477329,Global price of Energy index,2024-12-11,billy
1995-07-01,43.3838022888509,Global price of Energy index,2024-12-11,billy
1995-08-01,44.0429814599173,Global price of Energy index,2024-12-11,billy
1995-09-01,44.7208209600222,Global price of Energy index,2024-12-11,billy
1995-10-01,44.1188199049151,Global price of Energy index,2024-12-11,billy
1995-11-01,45.5713665756328,Global price of Energy index,2024-12-11,billy
1995-12-01,49.6533889964449,Global price of Energy index,2024-12-11,billy
1996-01-01,50.0136634968395,Global price of Energy index,2024-12-11,billy
1996-02-01,52.2364352951411,Global price of Energy index,2024-12-11,billy
1996-03-01,52.4338703754628,Global price of Energy index,2024-12-11,billy
1996-04-01,53.0710194165868,Global price of Energy index,2024-12-11,billy
1996-05-01,50.2988645490681,Global price of Energy index,2024-12-11,billy
1996-06-01,50.2431537053524,Global price of Energy index,2024-12-11,billy
1996-07-01,51.7455565736681,Global price of Energy index,2024-12-11,billy
1996-08-01,52.0151017067311,Global price of Energy index,2024-12-11,billy
1996-09-01,55.4370390659979,Global price of Energy index,2024-12-11,billy
1996-10-01,59.3720262223191,Global price of Energy index,2024-12-11,billy
1996-11-01,60.5047801216974,Global price of Energy index,2024-12-11,billy
1996-12-01,64.2949399768001,Global price of Energy index,2024-12-11,billy
1997-01-01,61.484578729773,Global price of Energy index,2024-12-11,billy
1997-02-01,53.4808309561963,Global price of Energy index,2024-12-11,billy
1997-03-01,50.5391430157583,Global price of Energy index,2024-12-11,billy
1997-04-01,47.8137294595803,Global price of Energy index,2024-12-11,billy
1997-05-01,50.7012034158406,Global price of Energy index,2024-12-11,billy
1997-06-01,48.1197943884955,Global price of Energy index,2024-12-11,billy
1997-07-01,48.3717507325168,Global price of Energy index,2024-12-11,billy
1997-08-01,49.7516960913767,Global price of Energy index,2024-12-11,billy
1997-09-01,50.8689116165982,Global price of Energy index,2024-12-11,billy
1997-10-01,53.4294044735867,Global price of Energy index,2024-12-11,billy
1997-11-01,51.2956317503083,Global price of Energy index,2024-12-11,billy
1997-12-01,46.3736555135031,Global price of Energy index,2024-12-11,billy
1998-01-01,42.1282223239176,Global price of Energy index,2024-12-11,billy
1998-02-01,40.3297502434822,Global price of Energy index,2024-12-11,billy
1998-03-01,38.4086367925118,Global price of Energy index,2024-12-11,billy
1998-04-01,39.4597784829243,Global price of Energy index,2024-12-11,billy
1998-05-01,39.0493483747371,Global price of Energy index,2024-12-11,billy
1998-06-01,36.8993185375508,Global price of Energy index,2024-12-11,billy
1998-07-01,36.7014133768936,Global price of Energy index,2024-12-11,billy
1998-08-01,35.1181769562553,Global price of Energy index,2024-12-11,billy
1998-09-01,37.657978086531,Global price of Energy index,2024-12-11,billy
1998-10-01,36.4444692938648,Global price of Energy index,2024-12-11,billy
1998-11-01,34.51499903212,Global price of Energy index,2024-12-11,billy
1998-12-01,30.8360143389792,Global price of Energy index,2024-12-11,billy
1999-01-01,32.5467206725288,Global price of Energy index,2024-12-11,billy
1999-02-01,31.3536702349526,Global price of Energy index,2024-12-11,billy
1999-03-01,35.4218490780644,Global price of Energy index,2024-12-11,billy
1999-04-01,40.6512863569622,Global price of Energy index,2024-12-11,billy
1999-05-01,41.8840647893305,Global price of Energy index,2024-12-11,billy
1999-06-01,42.8276451798696,Global price of Energy index,2024-12-11,billy
1999-07-01,47.2529617627011,Global price of Energy index,2024-12-11,billy
1999-08-01,51.2736079878553,Global price of Energy index,2024-12-11,billy
1999-09-01,55.40367682468,Global price of Energy index,2024-12-11,billy
1999-10-01,54.9674540745056,Global price of Energy index,2024-12-11,billy
1999-11-01,57.7503926516996,Global price of Energy index,2024-12-11,billy
1999-12-01,59.0786699247741,Global price of Energy index,2024-12-11,billy
2000-01-01,62.2392260586151,Global price of Energy index,2024-12-11,billy
2000-02-01,66.4232999229776,Global price of Energy index,2024-12-11,billy
2000-03-01,66.6851158362596,Global price of Energy index,2024-12-11,billy
2000-04-01,61.4169549680859,Global price of Energy index,2024-12-11,billy
2000-05-01,68.6714688049523,Global price of Energy index,2024-12-11,billy
2000-06-01,75.1507069374346,Global price of Energy index,2024-12-11,billy
2000-07-01,72.6865537980706,Global price of Energy index,2024-12-11,billy
2000-08-01,76.7991947154988,Global price of Energy index,2024-12-11,billy
2000-09-01,82.9348112414127,Global price of Energy index,2024-12-11,billy
2000-10-01,82.3055840412933,Global price of Energy index,2024-12-11,billy
2000-11-01,84.8125158439628,Global price of Energy index,2024-12-11,billy
2000-12-01,83.3207570062257,Global price of Energy index,2024-12-11,billy
2001-01-01,82.3671048296966,Global price of Energy index,2024-12-11,billy
2001-02-01,76.5110277605475,Global price of Energy index,2024-12-11,billy
2001-03-01,72.1270313751849,Global price of Energy index,2024-12-11,billy
2001-04-01,73.1053103918459,Global price of Energy index,2024-12-11,billy
2001-05-01,73.0180536275028,Global price of Energy index,2024-12-11,billy
2001-06-01,70.7713025163136,Global price of Energy index,2024-12-11,billy
